text	F-cumsum	S
.	0.03408713135328985	-0.7929348270212841
be	0.06107718813685026	-0.3284959922282553
and	0.09852470848414074	-0.0746510445352051
in	0.1236370958956895	-0.06313011312597183
of	0.159516838173568	-0.059414860561645355
this	0.16323926443842274	-0.05613672101233469
study	0.16667907447787295	-0.05293993592012747
mitidja	0.16667940608975373	-0.050000000000000266
ψᵣₛ	0.16667973770163452	-0.050000000000000266
ums	0.16668015221648552	-0.03999999999999959
result	0.16939257159541957	-0.03697032078200557
endivia	0.16939306901324075	-0.03333333333333366
however	0.17037679565760872	-0.03192603120294635
acetamiprid	0.1703773759784001	-0.028571428571428026
katherine	0.1703779562991915	-0.028571428571428026
laurus	0.1703785366199829	-0.028571428571427582
but	0.17162796728383506	-0.02671179973122939
hardship	0.17162863050759664	-0.025000000000000355
toolbox	0.17162937663432842	-0.0222222222222217
while	0.17249048978577375	-0.02221139645752679
also	0.17367633387148415	-0.02179206410836443
zingiber	0.17367716290118612	-0.020000000000000906
show	0.17543478877235125	-0.019110744753319864
conduct	0.17623049148031045	-0.018081993905024518
foil	0.17623156921892302	-0.015384615384616218
taihang	0.1762326469575356	-0.015384615384616218
compare	0.1775469077440825	-0.014983390938722252
curvispina	0.17754815128863546	-0.013333333333333197
diyarbakir	0.17754939483318843	-0.013333333333333197
dhar	0.1775507212807116	-0.012500000000000622
indicate	0.17846074718457366	-0.012282111303449028
we	0.17970047820091267	-0.012020984602392204
evaluate	0.18066803876609205	-0.011318150543861094
aerobically	0.1806696139225258	-0.010526315789474161
investigate	0.1812157786901894	-0.010348138091886838
suggest	0.18180165398057777	-0.010241608002134583
cooler	0.18180497009938568	-0.010000000000000675
bathinda	0.18180662815878965	-0.009999999999999787
pitfall	0.18181044169541874	-0.008695652173914326
soil-	0.1818123484637333	-0.00869565217391255
winegrower	0.18181425523204783	-0.00869565217391255
thus	0.18214014680789567	-0.008605053739669799
tartaric	0.18214213647918043	-0.008333333333333748
therefore	0.18252067144110393	-0.00814717477003768
years	0.18252274401535887	-0.008000000000000007
these	0.18396193957799398	-0.007928467526257421
tadla	0.18396409505521913	-0.007692307692307665
assess	0.18455336936738562	-0.007513211874186965
²h	0.18455560774758095	-0.007407407407407973
cypress	0.1845579290307465	-0.0071428571428571175
nh₄)₂so₄	0.18456025031391204	-0.0071428571428571175
heterotrophic	0.18456505868618353	-0.006896551724138611
parameterise	0.18456754577528947	-0.0066666666666659324
unpolluted	0.1845700328643954	-0.0066666666666659324
that	0.1897071154127067	-0.006298007295747254
pfos	0.18970976830775305	-0.006249999999999645
although	0.1900040738519555	-0.005824081338086984
tunisian	0.19001004286580975	-0.005555555555554648
aim	0.19040275423563707	-0.005420200285037424
districts	0.1904058216455344	-0.005405405405404906
periodicity	0.19040897195840192	-0.005263157894736636
stored	0.19041220517423965	-0.005128205128205998
continual	0.19041552129304756	-0.005000000000000782
reproducible	0.19041883741185547	-0.004999999999999893
conclusively	0.1904222364336336	-0.004878048780488697
shallower	0.19042563545541172	-0.004878048780488697
transcriptional	0.19042903447718984	-0.004878048780488697
verde	0.19043243349896796	-0.004878048780488697
reveal	0.19081925875791125	-0.004767490891092407
juliflora	0.19082274068265956	-0.004761904761905633
uncontaminated	0.19082622260740786	-0.004761904761905633
whereas	0.19109060017936888	-0.004664624882476431
informative	0.1910941650070874	-0.004651162790697327
communicate	0.1910978956407463	-0.004444444444442475
linearity	0.19110162627440522	-0.004444444444442475
favorably	0.1911054398110343	-0.004347826086958051
geologic	0.1911092533476634	-0.004347826086958051
premature	0.1911130668842925	-0.004347826086958051
conclusion	0.1912346026386026	-0.004229195088676363
excavation	0.19123858198117208	-0.004166666666665542
conclude	0.19141640885224653	-0.004009324009325965
helicoverpa	0.19142055400075642	-0.0039999999999995595
populated	0.1914246991492663	-0.0039999999999995595
transparency	0.19142901010371657	-0.0038461538461538325
finally	0.19151589241648395	-0.0038167938931295
investigation	0.19164091009554235	-0.0037135278514597303
mind	0.19164538685593305	-0.0037037037037039866
bolivia	0.19165019522820453	-0.0034482758620688614
ideas	0.19165500360047602	-0.0034482758620688614
multicriteria	0.1916598948757177	-0.0033898305084729685
proteomic	0.19166478615095936	-0.0033898305084729685
furthermore	0.1917988402537693	-0.0033395176252337677
