iteration	n_neighbors	n_components	min_cluster_size	diversity	num_topics	num_outliers	TD	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	5	5	10	0.3	206	4226	0.482	0.6791	error	error	error
0	5	5	10	0.5	184	3445	0.5717	0.6869	error	error	error
0	5	5	10	0.7	208	4273	0.5894	0.6811	error	error	error
0	5	5	15	0.3	126	3950	0.5619	0.6847	-5.4194	0.5025	-0.0836
0	5	5	15	0.5	118	3965	0.6186	0.6827	-6.3399	0.4406	-0.1271
0	5	5	15	0.7	127	3855	0.6307	0.6794	-7.1619	0.3881	-0.1616
0	5	5	20	0.3	70	4578	0.6786	0.6869	-4.8033	0.5418	-0.0487
0	5	5	20	0.5	67	4541	0.6955	0.6841	-5.4699	0.4756	-0.0895
0	5	5	20	0.7	63	4119	0.6825	0.6889	-5.0248	0.4381	-0.1062
0	5	5	25	0.3	61	4385	0.6869	0.6871	-4.5848	0.548	-0.0386
0	5	5	25	0.5	57	4285	0.6895	0.6916	-4.8494	0.4864	-0.0821
0	5	5	25	0.7	57	4079	0.7088	0.6832	-5.1538	0.4405	-0.0997
0	5	10	10	0.3	192	3758	0.5052	0.6852	error	error	error
0	5	10	10	0.5	202	4112	0.5173	0.6795	error	error	error
0	5	10	10	0.7	208	4151	0.5668	0.6799	error	error	error
0	5	10	15	0.3	127	3842	0.548	0.6778	-5.4627	0.5085	-0.0724
0	5	10	15	0.5	114	3601	0.6447	0.6825	-6.6401	0.4227	-0.133
0	5	10	15	0.7	126	4234	0.6198	0.6748	-6.6819	0.393	-0.1603
0	5	10	20	0.3	69	4398	0.6391	0.6847	-4.6812	0.5475	-0.0426
0	5	10	20	0.5	75	4901	0.6947	0.6896	-5.621	0.463	-0.1116
0	5	10	20	0.7	70	4606	0.6757	0.6761	-5.7001	0.4238	-0.1259
0	5	10	25	0.3	63	4509	0.6635	0.6851	-4.4993	0.5592	-0.0259
0	5	10	25	0.5	57	4349	0.7123	0.6929	-5.1941	0.4947	-0.0695
