iteration	n_neighbors	n_components	min_cluster_size	diversity	num_topics	num_outliers	TU	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	20	5	20	0.1	60	1665	0.9117	0.6891	error	error	error
0	20	5	20	0.3	54	1543	0.9204	0.6978	error	error	error
0	20	5	20	0.5	55	1591	0.9509	0.6822	-18.3661	0.4292	-0.3183
0	20	5	20	0.7	59	1572	0.9492	0.6781	-18.5012	0.4467	-0.3323
0	20	5	10	0.1	87	1382	0.854	error	error	error	error
0	20	5	10	0.3	90	1482	0.9133	0.6841	error	error	error
0	20	5	10	0.5	94	1373	0.866	error	error	error	error
0	20	5	10	0.7	92	1426	0.8815	0.6889	error	error	error
0	20	10	20	0.1	58	1633	0.9414	0.6892	-17.7951	0.3915	-0.2951
0	20	10	20	0.3	57	1549	0.9386	0.6937	error	error	error
0	20	10	20	0.5	56	1646	0.9482	0.6762	-18.329	0.4269	-0.324
0	20	10	20	0.7	55	1767	0.9364	0.6839	-18.2253	0.425	-0.3166
0	20	10	10	0.1	91	1385	0.8637	0.6899	error	error	error
0	20	10	10	0.3	91	1415	0.8692	0.6884	error	error	error
0	20	10	10	0.5	88	1414	0.8727	0.692	error	error	error
0	20	10	10	0.7	91	1505	0.8945	0.6875	error	error	error
0	20	15	20	0.1	56	1698	0.9375	0.6902	-17.494	0.3885	-0.2881
0	20	15	20	0.3	52	1741	0.9519	0.6934	error	error	error
0	20	15	20	0.5	52	1632	0.9385	0.6804	-18.3777	0.4327	-0.3299
0	20	15	20	0.7	53	1590	0.9509	0.6887	-18.46	0.44	-0.3308
0	20	15	10	0.1	93	1526	0.8591	0.6864	error	error	error
0	20	15	10	0.3	92	1462	0.888	0.6923	error	error	error
0	20	15	10	0.5	87	1465	0.9092	0.6859	error	error	error
0	20	15	10	0.7	90	1428	0.89	0.6909	-17.9013	0.4222	-0.312
0	20	20	20	0.1	55	1643	0.94	0.69	-17.7372	0.4044	-0.3022
0	20	20	20	0.3	55	1677	0.9145	error	error	error	error
0	20	20	20	0.5	55	1625	0.9218	0.6876	-18.3211	0.4377	-0.3251
0	20	20	20	0.7	55	1657	0.9527	0.6904	-18.1981	0.4245	-0.319
0	20	20	10	0.1	88	1526	0.8614	0.6913	error	error	error
0	20	20	10	0.3	89	1602	0.8742	0.6789	error	error	error
0	20	20	10	0.5	87	1496	0.8966	0.6837	error	error	error
0	20	20	10	0.7	88	1560	0.9239	0.6951	-17.7624	0.4105	-0.3053
0	25	5	20	0.1	55	1655	0.9073	0.6922	-17.698	0.4046	-0.3027
0	25	5	20	0.3	55	1577	0.9564	0.6889	-18.0129	0.4011	-0.3031
0	25	5	20	0.5	55	1605	0.9273	0.6828	-18.3932	0.4317	-0.3252
0	25	5	20	0.7	55	1668	0.9418	0.6861	-18.5867	0.4386	-0.3324
0	25	5	10	0.1	82	1465	0.8622	0.6917	error	error	error
0	25	5	10	0.3	78	1537	0.9	0.6878	error	error	error
0	25	5	10	0.5	81	1509	0.9235	0.6841	error	error	error
0	25	5	10	0.7	79	1506	0.8962	0.6851	error	error	error
0	25	10	20	0.1	54	1768	0.9352	0.6921	-17.5429	0.4045	-0.2958
0	25	10	20	0.3	57	1602	0.9596	0.6926	-17.8793	0.4089	-0.3016
0	25	10	20	0.5	55	1666	0.9564	0.6978	-18.366	0.4306	-0.3182
0	25	10	20	0.7	52	1732	0.9423	0.6748	-18.4587	0.4421	-0.329
0	25	10	10	0.1	81	1631	0.8889	0.6928	-17.2923	0.3828	-0.2835
0	25	10	10	0.3	80	1545	0.895	0.6927	error	error	error
0	25	10	10	0.5	82	1614	0.9256	0.6965	error	error	error
0	25	10	10	0.7	79	1604	0.9215	0.6803	error	error	error
0	25	15	20	0.1	52	1793	0.9365	0.6902	-17.7021	0.4129	-0.3009
0	25	15	20	0.3	56	1722	0.95	0.6945	-17.8717	0.4051	-0.3001
0	25	15	20	0.5	54	1677	0.95	0.6792	-18.3491	0.4313	-0.3208
0	25	15	20	0.7	55	1747	0.9436	0.6781	-18.5209	0.4553	-0.3378
0	25	15	10	0.1	86	1613	0.8872	0.6951	error	error	error
0	25	15	10	0.3	79	1604	0.9203	0.6923	error	error	error
0	25	15	10	0.5	77	1618	0.9104	0.6916	error	error	error
0	25	15	10	0.7	80	1551	0.875	0.6839	error	error	error
0	25	20	20	0.1	50	1723	0.926	0.6989	-17.87	0.4103	-0.3101
0	25	20	20	0.3	51	1716	0.9569	0.6981	-18.074	0.417	-0.3054
0	25	20	20	0.5	49	1731	0.9612	0.693	-18.4537	0.4425	-0.3285
0	25	20	20	0.7	57	1724	0.9316	0.6898	-18.4153	0.4475	-0.3278
0	25	20	10	0.1	79	1670	0.8861	0.6885	-17.4935	0.3885	-0.2859
0	25	20	10	0.3	76	1690	0.9053	0.6905	error	error	error
0	25	20	10	0.5	80	1639	0.9062	0.6875	error	error	error
0	25	20	10	0.7	80	1593	0.8775	0.6928	error	error	error
0	30	5	20	0.1	52	1715	0.9231	0.6999	-17.7471	0.4002	-0.303
0	30	5	20	0.3	51	1818	0.9412	0.6938	-18.0927	0.4205	-0.3113
0	30	5	20	0.5	53	1811	0.9642	0.687	-17.9805	0.4073	-0.3042
0	30	5	20	0.7	54	1771	0.9667	0.6841	-18.435	0.4326	-0.3201
0	30	5	10	0.1	76	1543	0.8987	0.6868	error	error	error
